Index #,Unique Identifier,Rating,Rank,Level (A),Billet Title,Functional Area ,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,Notes,Training Solution Type,Cluster Analysis Title,Recommended Modality,Development Specification,Candidate Platform,CFM Placement,Priority Placement,Development Ratio,Development Time (duration in hours),Notes
NS-022,1200,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the procedures for conducting colors,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify procedures for performing military ceremonies,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-023,1201,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Handle the ensign and jack,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify procedures for performing military ceremonies,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-024,1202,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Know how, when, and to whom the hand salute is rendered",All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Recognize the purpose and procedures for rendering the hand salute,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-025,1203,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Perform military courtesies when boarding and leaving a Naval vessel,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Understand and appreciate military etiquette,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-026,1204,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Perform military courtesies when crossing or being in the vicinity of the quarterdeck,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Recognize military customs and courtesies, and how they are observed",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-027,1205,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Perform military courtesies when the national ensign passes, the National Anthem, or the Navy Service song is played",All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Understand appropriate military etiquette,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-028,1206,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Perform military courtesies when honors are being rendered,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Understand appropriate military etiquette,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-029,1207,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Perform military courtesies when a Foreign National Anthem is played,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Understand appropriate military etiquette,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-030,1208,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Perform courtesies afforded junior, midgrade, and senior enlisted/officers",All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Understand appropriate military etiquette,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-031,1209,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know national ensign etiquette,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Understand appropriate military etiquette,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-032,1210,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Know the traditions related to uniforms and navy jargon (scuttlebutt, head, etc.)",All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Understand appropriate military etiquette,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-033,1211,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the Pledge of Allegiance,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Understand appropriate military etiquette,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-034,1212,ALL,E1,A,General Sailor,"Customs, Traditions, and Courtesies",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the National Anthem,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Understand appropriate military etiquette,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-035,1213,ALL,E1,A,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Explain the purpose of followership and leadership,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Discuss the fundamentals of Navy leadership,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-036,1214,ALL,E1,A,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Describe the authority and responsibility of a Petty Officer, Chief Petty Officer, and Officer",All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Discuss the fundamentals of Navy leadership,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-037,1215,ALL,E1,A,General Sailor,Security Requirements,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Understand security requirements regarding visitors with and without visit clearances,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Comply with the information awareness security requirements with utilizing computer assets,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-038,1216,ALL,E1,A,General Sailor,Security Requirements,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Understand the basic policies of the Department of the Navy (DON) information and personnel security program,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Comply with the information awareness security requirements with utilizing computer assets,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-039,1217,ALL,E1,A,General Sailor,First Aid & Health,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,State the three basic rules for the treatment of soft tissue wounds,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Know the purpose of the Watch, Quarter, and Station Bill",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-040,1218,ALL,E1,A,General Sailor,First Aid & Health,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"State the principles involved in treating and dressing wounds to the following areas: Chest, Head, Abdominal",All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,State and understand the purpose of the general orders of a sentry,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-041,1219,ALL,E1,A,General Sailor,First Aid & Health,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Explain the three methods of controlling hemorrhage,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Perform seamanship line handling procedures while communicating via sound powered telephone headsets and observing apropriate safetey precautions,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-042,1220,ALL,E1,A,General Sailor,First Aid & Health,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Explain the method of estimating burn area(s)?,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Perform street movement for the purpose of moving a division, element, or single recruit",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-043,1221,ALL,E1,A,General Sailor,First Aid & Health,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Explain each of the following extraction devices and their use:  Stokes, Firefighter Extracation System, Reeves Sleeve",All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Perform street movement for the purpose of moving a division, element, or single recruit",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-044,1222,ALL,E1,A,General Sailor,First Aid & Health,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"In terms of rescuer safety, state the precautions to be taken for the following:  Removing a victim from an energized circuit; Rescuing a victim overcome by toxic fumes",All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Identify Navy enlisted rate insignia, head gear, and service stripes",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-045,1223,ALL,E1,A,General Sailor,First Aid & Health,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Control hemorrhage by tourniquet,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify Navy Officer rank insignia and headgear,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-046,1224,ALL,E1,A,General Sailor,First Aid & Health,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Control hemorrhage by using pressure points,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Demonstrate proper wear of the U.S. Navy Working Uniform and its outer garments,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-047,1225,ALL,E2,A,General Sailor,"Watchstanding and Watch, Quarter, and Station Bill",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"State the purpose and content of the watch, quarter, and station bill",All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify enlisted paygrade and insignia of the other U.S. Armed Services / Identify officer paygrade and insignia of the other U.S. Armed Services,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-048,1226,ALL,E2,A,General Sailor,"Watchstanding and Watch, Quarter, and Station Bill",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Understand duties and responsibilities of an Armed Sentry,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Identify Navy enlisted rate insignia, head gear, and service stripes",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-049,1227,ALL,E2,A,General Sailor,Seamanship,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Tie four basic knots: bowline, clove hitch, square knot, and bowline on a bight",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-050,1228,ALL,E2,A,General Sailor,Drill and Formation,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Execute individual positions and facing movements,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify enlisted paygrade and insignia of the other U.S. Armed Services,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-051,1229,ALL,E2,A,General Sailor,Drill and Formation,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know procedures for close order drill,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-052,1230,ALL,E2,A,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Identify insignias and collar devices of U.S. Navy enlisted rates and ratings,All Sailor Task (ships),No,A-830-0018,Armed Sentry/Security Reaction Force-Basic,G-School,NSTC,TCCD,Employ Small Arms,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-053,1231,ALL,E2,A,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Identify insignia and corps devices of U.S. Navy Officers,All Sailor Task (ships),No,A-830-0018,Armed Sentry/Security Reaction Force-Basic,G-School,NSTC,TCCD,Employ Small Arms,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-054,1232,ALL,E2,A,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Properly wear and maintain navy enlisted uniforms,All Sailor Task (ships),No,A-830-0018,Armed Sentry/Security Reaction Force-Basic,G-School,NSTC,TCCD,Apply Safety Precautions,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-055,1233,ALL,E2,A,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Identify paygrade insignias of other U.S. Armed Services,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Know individual ATFP measures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-056,1234,ALL,E2,A,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the purpose of and qualifications required to earn and wear the service stripes,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Know the procedures for receiving a bomb threat by telephone,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-057,1235,ALL,E2,A,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the regulations concerning Common Access Card (CAC) military identification and ID tags (dog tags),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-058,1236,ALL,E2,A,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the regulations for wearing authorized military awards and breast insignias,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-059,1237,ALL,E2,A,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Prepare and maintain a seabag,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Describe the procedures to break out, don, connect, test, operate, and secure a sound-powered telephone",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-060,1238,ALL,E2,A,General Sailor,Force Protection,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Effectively operate service pistol, service rifle and shotgun",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-061,1239,ALL,E2,A,General Sailor,Force Protection,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the basic procedure to clear and safe a weapon,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Know the purpose and the pronunciations of the phonetic alphabet and numbers,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-062,1240,ALL,E2,A,General Sailor,Force Protection,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Know the proper Personal Protective Equipment (PPE), required when firing small arms or in the vicinity of personnel who are firing small arms",All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Identify U.S. Navy ships by type, mission, and history / Identify the types, missions, and history of U.S. Navy aircraft",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-063,1241,ALL,E2,A,General Sailor,Force Protection,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the safeguards against terrorism while traveling and in foreign countries,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Define terms related to the structure of Navy ships,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-064,1242,ALL,E2,A,General Sailor,Force Protection,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the basic requirements and procedures pertaining to a bomb threat,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Identify U.S. Navy ships by type, mission, and history / Identify the types, missions, and history of U.S. Navy aircraft",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-065,1243,ALL,E2,A,General Sailor,Force Protection,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the safeguards against acts of terrorism and victimization,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Identify compartment locations and functions according to the Navy System of Ship Compartment Identification,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-066,1244,ALL,E2,A,General Sailor,Communications,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Use standard procedures and phraseology on interior communications equipment (sound powered telephones, intercoms, etc.)",All Sailor Task (ships),No,A-493-0080,Introduction to Hazardous Waste Generation and Handling Temp Webinar Covid,F-School,CENSEABEESFACENG,TCCD,"Describe the general types of Personal Protection Equipment (PPE), their uses, and limitations",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
