,PART I,,,,,,,,,,PART II,,,,,,,,,,,
e6ad5c40-0493-4b1e-b98e-ddeaab9c9227,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Centrifugal Pump Components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Centrifugal Pump Components,Knowledge/Performance Test,,,,N/A
e476e7cf-80c5-4a1f-837f-e6772183f38e,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Centrifugal Purifier components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Centrifugal Purifier components,Knowledge/Performance Test,,,,N/A
b7d99659-49d5-4a74-a65a-6a66f5c7a8e0,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Characteristics of Precision Measuring Tools,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Characteristics of Precision Measuring Tools,Knowledge/Performance Test,,,,N/A
5579d5e1-686f-4653-b2d6-fe7e85f057c7,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify combined contaminated fuel detector (CCFD) components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify combined contaminated fuel detector (CCFD) components,Knowledge/Performance Test,,,,N/A
49fb1261-51c9-4152-a30e-cef95b81941d,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Electric Valve Operator components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Electric Valve Operator components,Knowledge/Performance Test,,,,N/A
091ec4e5-ca89-44ef-9283-9dd1dc1679c1,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Flash points components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Flash points components,Knowledge/Performance Test,,,,N/A
495f361d-8e4a-4213-a1ed-620ec6b02f36,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Fuel System Icing Inhibitor (FSII) components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Fuel System Icing Inhibitor (FSII) components,Knowledge/Performance Test,,,,N/A
d9181205-3b7b-4cfb-a8fa-12df7f380028,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,"Identify fuels division logs, records, and reports",Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,"Identify fuels division logs, records, and reports",Knowledge/Performance Test,,,,N/A
a1979cf5-e1c1-4475-99a0-aed5956de8bc,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Gate-Valve components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Gate-Valve components,Knowledge/Performance Test,,,,N/A
473c64bb-6c62-4955-9651-d950f02034a4,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Globe Valve Components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Globe Valve Components,Knowledge/Performance Test,,,,N/A
5460614b-8c87-4b84-8c84-3b4e6891bbe0,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Hose and Hose Reel Components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Hose and Hose Reel Components,Knowledge/Performance Test,,,,N/A
f9091beb-7a5b-432b-97cc-5c3fc08a75dd,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify JP-5 Below Deck emergency procedures,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 Below Deck emergency procedures,Knowledge/Performance Test,,,,N/A
eef5e526-5e10-491e-b6f9-85c5643b9f3e,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify JP-5 Fill and Transfer system components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 Fill and Transfer system components,Knowledge/Performance Test,,,,N/A
c77d15fd-7281-4816-a572-53d10cbd2233,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify JP-5 Filter Separator,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 Filter Separator,Knowledge/Performance Test,,,,N/A
57893778-0e83-480a-9e24-b571b1959cf4,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify JP-5 Filter Stripping components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 Filter Stripping components,Knowledge/Performance Test,,,,N/A
4f444f55-519f-4ce4-a679-d1616a35f56c,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify JP-5 portable defuel cart components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 portable defuel cart components,Knowledge/Performance Test,,,,N/A
c9c0a5be-3013-4d41-96ae-516bf182348f,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify JP-5 Service system components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 Service system components,Knowledge/Performance Test,,,,N/A
ec97a483-248b-4358-8257-e47c81e88116,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify JP-5 tank maintenance procedures,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 tank maintenance procedures,Knowledge/Performance Test,,,,N/A
99b2bd96-1063-4550-9b8e-ed07fb7a32de,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify JP-5 transfer cart components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 transfer cart components,Knowledge/Performance Test,,,,N/A
65fc0f79-a5fa-4641-9ce1-c601f9cf95ba,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify maintenance data system,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify maintenance data system,Knowledge/Performance Test,,,,N/A
815ff7df-ea48-48ef-8908-0c222a71ed0e,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify military fuels and characteristics,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify military fuels and characteristics,Knowledge/Performance Test,,,,N/A
2d74fa52-94ae-4ca6-abc9-8d54da6074ba,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify nozzle and quick disconnect components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify nozzle and quick disconnect components,Knowledge/Performance Test,,,,N/A
9ccdd08c-305c-4abf-a012-a2a53e840a6c,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify One Way Check Valve (Swing-Type) components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify One Way Check Valve (Swing-Type) components,Knowledge/Performance Test,,,,N/A
aad136e9-4126-4753-bf14-458f2cd1ca10,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify organization duties and responsibilities,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify organization duties and responsibilities,Knowledge/Performance Test,,,,N/A
ef40a67f-2e02-4b8f-bb81-fe82b10afe17,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify planned maintenance system,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify planned maintenance system,Knowledge/Performance Test,,,,N/A
4469e871-316c-4ce6-8396-ce00351fd731,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify quality maintenance procedures,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify quality maintenance procedures,Knowledge/Performance Test,,,,N/A
7d6f6e74-1a50-4eb4-bf69-e86af91f597b,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Quality Surveillance equipment,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Quality Surveillance equipment,Knowledge/Performance Test,,,,N/A
5204cd57-9443-48ef-b8f1-52fb8167f444,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Quality Testing procedures,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Quality Testing procedures,Knowledge/Performance Test,,,,N/A
a40e7dda-7e0e-49ae-a8a5-83667d10ef11,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Rotary Vane Pump components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Rotary Vane Pump components,Knowledge/Performance Test,,,,N/A
8478e5f4-7642-4b93-b13c-99ebb3beb3ae,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify sampling procedures,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify sampling procedures,Knowledge/Performance Test,,,,N/A
951ddb37-cfcd-4b42-b4e7-2d315e815de6,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify specific gravity components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify specific gravity components,Knowledge/Performance Test,,,,N/A
a98c62a5-c7b2-4124-87c7-999df62b0638,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Tank Level Indicating and Controlling  System (TLICS),Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Tank Level Indicating and Controlling  System (TLICS),Knowledge/Performance Test,,,,N/A
30a43dc9-75e8-41f7-b276-c52bfd62b63a,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify the organizational management system,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify the organizational management system,Knowledge/Performance Test,,,,N/A
7c7027bc-af35-4538-9c85-500dc66ad276,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify the ship's operation management,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify the ship's operation management,Knowledge/Performance Test,,,,N/A
7f424c11-8a69-4f10-b64a-5dece99de644,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform JP-5 fuel system duties,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Perform JP-5 fuel system duties,Knowledge/Performance Test,,,,N/A
b679bb6c-2b5a-49fe-95bd-8a41de755581,ABF,E4,A,Aviation Fuels Maintenance Technician (D14A),JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Transfer Filter components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Transfer Filter components,Knowledge/Performance Test,,,,N/A
eb265dd4-8505-498c-9371-787992cff79f,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,"Define the purpose, terms, abbreviations and symbols used with the management of fuel terminals",Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,"Define the purpose, terms, abbreviations and symbols used with the management of fuel terminals",Knowledge/Performance Test,,,,N/A
6cd48873-ffc9-4485-932a-fa9b09e4f84a,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Describe fuel terminal operational procedures and guidelines,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe fuel terminal operational procedures and guidelines,Knowledge/Performance Test,,,,N/A
6d4ac293-8523-42c1-90cb-568b0aecab8b,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Describe personnel and equipment safety precautions to be observed during the maintenance of fuel terminal systems and equipment,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe personnel and equipment safety precautions to be observed during the maintenance of fuel terminal systems and equipment,Knowledge/Performance Test,,,,N/A
cb163219-fd69-4c90-9bf3-e905711b2858,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Describe personnel and equipment safety precautions to be observed in the operation of fuel terminals,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe personnel and equipment safety precautions to be observed in the operation of fuel terminals,Knowledge/Performance Test,,,,N/A
6ce67823-16b0-41a1-996c-ebe1a3ddaac2,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Describe the personnel and equipment safety precautions to be observed during the operation of fuel terminal systems and equipment,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the personnel and equipment safety precautions to be observed during the operation of fuel terminal systems and equipment,Knowledge/Performance Test,,,,N/A
6c66f57a-249e-49b0-b2a2-96971c0cd9d5,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Describe the procedures for conducting the API gravity fuel test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the procedures for conducting the API gravity fuel test,Knowledge/Performance Test,,,,N/A
5848d7af-e5e3-45c3-9fe6-fafd257e30db,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Describe the procedures for conducting the flashpoint fuel test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the procedures for conducting the flashpoint fuel test,Knowledge/Performance Test,,,,N/A
5bda974c-8035-4120-a5c9-aa0829e25952,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Describe the procedures for conducting the BS&W fuel test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the procedures for conducting  the BS&W fuel test,Knowledge/Performance Test,,,,N/A
f83ec2be-8e30-4664-a70a-ba1903088320,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Describe the procedures for conducting the contaminated/free water test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the procedures for conducting the contaminated/free water test,Knowledge/Performance Test,,,,N/A
9c3047b5-9931-4295-b476-d7b3dbb60ac0,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Describe the procedures for developing an oil spill contingency plan,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the procedures for developing an oil spill contingency plan,Knowledge/Performance Test,,,,N/A
8e5dd4ef-744f-4664-9617-a08cd2c91dbb,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,"Identify the fuel terminal organization participants and actions, responsibilities and accountability of each participant",Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,"Identify the fuel terminal organization participants and actions, responsibilities and accountability of each participant",Knowledge/Performance Test,,,,N/A
39180642-c142-441c-9747-8669f3e41a3c,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Observe personnel and equipment safety precautions,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Observe personnel and equipment safety precautions,Knowledge/Performance Test,,,,N/A
2e352b9f-49ab-4603-8f7c-9974bf462cfe,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Operate Fuel terminal equipment,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Operate Fuel terminal equipment,Knowledge/Performance Test,,,,N/A
bf88ef67-7894-451b-bc89-7eba83dc0430,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform Fuel Tests,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform Fuel Tests,Knowledge/Performance Test,,,,N/A
398618ed-4a03-43d4-a898-2cafcccb77b4,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform shore JP-5 fuel system duties,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform shore JP-5 fuel system duties,Knowledge/Performance Test,,,,N/A
5dbde44c-1094-44a3-990a-a3c62510dd2a,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform the API gravity fuel test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform the API gravity fuel test,Knowledge/Performance Test,,,,N/A
11100677-a0de-47f2-9851-c23a00ce62cb,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform the flashpoint fuel test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform the flashpoint fuel test,Knowledge/Performance Test,,,,N/A
861968e9-2168-4372-89b2-7ead87ae1165,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform the BS&W fuel test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform the BS&W fuel test,Knowledge/Performance Test,,,,N/A
0394288d-27c8-4ef9-88aa-41f925be6b55,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform the contaminated/free water test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform the contaminated/free water test,Knowledge/Performance Test,,,,N/A
6bb7e651-511d-495d-be10-b910517f71c3,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform the fuel system icing inhibitor test ,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform the fuel system icing inhibitor test ,Knowledge/Performance Test,,,,N/A
6afb787e-a465-4465-bce1-ca4a48772eb9,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Respond to an Oil Spill,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Respond to an Oil Spill,Knowledge/Performance Test,,,,N/A
ce1d2bf8-6b54-4f7c-8722-c9f06544ae3d,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician (817A),JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Describe the laws and regulations governing oil pollution,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the laws and regulations governing oil pollution,Knowledge/Performance Test,,,,N/A
54a0a808-7cfa-4d53-a314-059de16c5d6b,ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician (817A),JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,State the types of maintenance on fuel terminal systems and equipment.,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,State the types of maintenance on fuel terminal systems and equipment.,Knowledge/Performance Test,,,,N/A
