Index #,Rating,Rank,Level (A),Billet Title,Functional Area ,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,Notes,Training Solution Type,Cluster Analysis Title,Recommended Modality,Development Specification,Candidate Platform,CFM Placement,Priority Placement,Development Ratio,Development Time (duration in hours),Notes
PQ16-009,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Execute the ship’s routine as modified in the POD, PDL, and as directed by the OOD",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-010,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Ensure positive identification/authorization of personnel entering/leaving the ship,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-011,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Inspect/control liberty parties,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-012,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Inspect all packages/materials carried on/off the ship for unauthorized/illegal items in accordance with ship’s procedures,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-013,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Observe sunrise around the brow area as directed by the OOD,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-014,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Enforce ship’s boats’ safety requirements,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-015,QM,E7,M,Junior Officer of the Deck,Communications,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Direct the operation of the ship’s boats as directed by the OOD,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-016,QM,E7,M,Junior Officer of the Deck,Communications,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Coordinate shipboard emergency drills as directed by the OOD,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-017,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Accomplish all necessary actions to allow for the safe conduct of personnel working over the side as directed by the OOD,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-018,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Accomplish all necessary actions to allow for the safe conduct of divers in the water as directed by the OOD,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-019,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Review “Pass down” log for information,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-020,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Verify safe conditions for ordnance handling as directed by the OOD,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-021,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Prepare for getting underway as directed by the OOD,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-022,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Identify what HERO restrictions are in place,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-023,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Respond to political asylum/temporary refuge request and notify the OOD promptly,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-024,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Respond to storm warning and notify the OOD promptly,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-025,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Receive personnel is unauthorized absence (UA)/deserter status and notify the OOD promptly,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-026,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Receive personnel from civil/military authorities and notify the OOD promptly,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-027,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Observe crane operations,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-028,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Respond to American Red Cross emergency notification and notify the OOD promptly,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-029,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Receive drunk/disorderly personnel and notify the OOD promptly,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-001,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Read all applicable instructions and directives prior to assuming watch,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-002,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Inspect quarterdeck watches,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-003,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Inspect watchstander weapons qualification cards,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-004,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Update status of ship's major equipment and pier services,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-005,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Inspect ship's brow, mooring lines, ground tackle, and position",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-006,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Review current and scheduled activities/evolutions and conditions of readiness,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-007,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Review current and predicted weather and tidal conditions,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-008,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Ascertain location/availability of CO, XO, and embarked commanders",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-009,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Review required publications and instructions available on the quarterdeck,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-010,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Review ship's, SOPA's, and OPNAV's policies for civilian liberty boats",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-011,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Review ship's and SOPA's policies for ship's boats,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-012,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Direct the testing/use of the general announcing systems, alarms, and ship's bell",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-013,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Execute the ship's routine as modified in the POD, PDL, and In-port Night Orders",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-014,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Ensure positive identification/authorization of personnel entering/leaving the ship,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-015,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Inspect/control liberty parties,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-016,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Inspect all packages/materials carried on/off the ship for unauthorized/illegal items IAW ship's procedures,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-017,QM,E7,M,Officer of the Deck,Communications,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Observe sunrise,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-018,QM,E7,M,Officer of the Deck,Communications,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Execute morning colors,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-019,QM,E7,M,Officer of the Deck,Communications,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Execute evening colors/observe sunset,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-020,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Enforce ship's boats' safety requirements,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-021,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Ensure all boats are fully equipped, manned, fueled, and in working order prior to use",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-022,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Direct the operation of the ship's boats,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-023,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Coordinate shipboard emergency drills,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-024,QM,E7,M,Officer of the Deck,Communications,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Demonstrate the proper use of the Ship's General Announcing system (1MC),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-025,QM,E7,M,Officer of the Deck,Communications,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Render honors to officers/officials in passing (afoot, vehicle, and boat)",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-026,QM,E7,M,Officer of the Deck,Communications,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Announce the CO’s/ranking officer’s/official’s arrival and departure,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-027,QM,E7,M,Officer of the Deck,Communications,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Call away working parties,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-028,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Initiate action to receive ships alongside,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-029,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Accomplish all necessary actions to allow for the safe conduct of personnel working over the side,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-030,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Accomplish all necessary actions to allow for the safe conduct of personnel working aloft,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-031,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Accompany Roving Patrol(s) on rounds,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-032,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Accompany Sound and Security Patrol on rounds,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-033,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Accomplish all necessary actions to allow for the safe conduct of divers in the water,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-034,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Initiate action to refuel/transfer fuel,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-035,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Accomplish all necessary actions to allow for the safe conduct of pumping bilges,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-036,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Collect and review 12 o'clock reports,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-037,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Review Deck Log for accuracy,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ17-038,QM,E7,M,Officer of the Deck,Administration,NAVEDTRA 43397-F (306 Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Review Deck Log for accuracy,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
