Index #,Rating,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach
NEC1-042,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Utilize Automatic Radar Plotting Aid (ARPA),Knowledge/Performance Test
NEC1-043,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Utilize electronic charts,Knowledge/Performance Test
NEC1-044,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Utilize electronic navigation systems,Knowledge/Performance Test
NEC1-045,QM,A-061-0300,QM J,C-School,SWSC,CTTL,"Direct representative of the navigator and provides a continuous navigational watch on the bridge. Assists the navigator and officer of the deck (OOD) in navigating the ship and will immediately inform the navigator, OOD, assistant navigator, and senior quarterM/operations specialist when discrepancies arise",Knowledge/Performance Test
NEC2-001,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Apply Celestial Navigation Principles,Knowledge/Performance Test
NEC2-002,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Calculate nautical time,Knowledge/Performance Test
NEC2-003,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Conduct VMS casualty procedures,Knowledge/Performance Test
NEC2-004,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Construct navigation briefs,Knowledge/Performance Test
NEC2-005,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Demonstrate concepts of marine navigation,Knowledge/Performance Test
NEC2-006,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine ship's position,Knowledge/Performance Test
NEC2-007,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Download current predictions,Knowledge/Performance Test
NEC2-008,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Download tidal predictions,Knowledge/Performance Test
NEC2-009,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Identify navigational safety warnings,Knowledge/Performance Test
NEC2-010,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Identify recommended actions based on the Rules of the Road,Knowledge/Performance Test
NEC2-011,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Interpret the Commanding Officer's (CO) orders,Knowledge/Performance Test
NEC2-012,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Maintain the ship's records, logs, and forms",Knowledge/Performance Test
NEC2-013,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Manage sensor inputs to VMS,Knowledge/Performance Test
NEC2-014,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Manage VMS alarms,Knowledge/Performance Test
NEC2-015,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test
NEC2-016,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Perform anchor planning procedures,Knowledge/Performance Test
NEC2-017,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Perform communication procedures,Knowledge/Performance Test
NEC2-018,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Perform Dead Reckoning (DR) procedures,Knowledge/Performance Test
NEC2-019,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Perform meteorology procedures,Knowledge/Performance Test
NEC2-020,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Perform nautical chart procedures,Knowledge/Performance Test
NEC2-021,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Perform piloting procedures,Knowledge/Performance Test
NEC2-022,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Perform VMS Systems Setup,Knowledge/Performance Test
NEC2-023,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Perform weather observations and reporting procedures,Knowledge/Performance Test
NEC2-024,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Plot anchorage areas,Knowledge/Performance Test
NEC2-025,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Use aids to navigation,Knowledge/Performance Test
NEC2-026,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Use Automatic Radar Plotting Aid (ARPA),Knowledge/Performance Test
NEC2-027,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Use checklists,Knowledge/Performance Test
NEC2-028,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Use electronic charts,Knowledge/Performance Test
NEC2-029,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Use fix procedures,Knowledge/Performance Test
NEC2-030,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine the nominal range of a lighted aid,Knowledge/Performance Test
NEC2-031,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Apply corrections to the chart or publication,Knowledge/Performance Test
NEC2-032,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Comprehend the importance of situational awareness and its importance at each level of the watch team,Knowledge/Performance Test
NEC2-033,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Define Bridge Resource Management (BRM),Knowledge/Performance Test
NEC2-034,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Demonstrate the ability to implement and modify controls necessary to interrupt the error chain,Knowledge/Performance Test
NEC2-035,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Describe the elements of proper bridge to bridge communications,Knowledge/Performance Test
NEC2-036,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Describe the information contained in each publication and how the publication is used in Navigation,Knowledge/Performance Test
NEC2-037,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Explain conditions of good situational awareness,Knowledge/Performance Test
NEC2-038,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Explain how BRM addresses safety and efficiency,Knowledge/Performance Test
NEC2-039,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Explain how to correct the loss of situational awareness,Knowledge/Performance Test
NEC2-040,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a chart and appropriate plotting equipment, navigate a vessel while maintaining the intended track, using advanced principles of Dead Reckoning (DR)",Knowledge/Performance Test
NEC2-041,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a compass heading and it’s error, calculate the True Heading within 0.1 degree error",Knowledge/Performance Test
NEC2-042,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Gyro Compass Heading and Gyro Error, Calculate the True Heading within 0.1 degree of error",Knowledge/Performance Test
NEC2-043,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a local chart, identify the current year’s variation and the annual change as per the compass rose information",Knowledge/Performance Test
NEC2-044,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a local nautical chart, identify its datum IAW the NAVDORM and Bowditch",Knowledge/Performance Test
NEC2-045,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a local nautical chart, ship’s distance from land/shoals, and a GPS, plot the most accurate fix IAW the NAVDORM and Bowditch",Knowledge/Performance Test
NEC2-046,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a nautical chart and plotting tools, and given a specific location to reach, determine a corrective course to steer and speed to order taking into account the effects of Set and Drift, to within 10° and .5 kts of error",Knowledge/Performance Test
NEC2-047,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a nautical chart and plotting tools, determine Set and Drift to within 10° and .5 kts of error",Knowledge/Performance Test
NEC2-048,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a nautical chart and plotting tools, explain the principles and purposes of Dead Reckoning",Knowledge/Performance Test
NEC2-049,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Radar and current weather conditions, Describe basic types of radar interference (i.e. spoking, sectoring, etc.) and what they likely indicate IAW Bowditch and the Radar Navigation Manual. ",Knowledge/Performance Test
NEC2-050,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Radar and current weather conditions, Describe the affect that distortion may have on the return signal IAW Bowditch and the Radar Navigation Manual",Knowledge/Performance Test
NEC2-051,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Radar and current weather conditions, Describe the limitations on the signal received from weak and low lying coastal areas IAW Bowditch and the Radar Navigation Manual",Knowledge/Performance Test
NEC2-052,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Radar and current weather conditions, Describe the various characteristics of a radar target that can affect the quality of the return signal IAW Bowditch and the Radar Navigation Manual",Knowledge/Performance Test
NEC2-053,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Radar and current weather conditions, explain the effects that various weather conditions will have on radar tracking IAW Bowditch and the Radar Navigation Manual",Knowledge/Performance Test
NEC2-054,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Radar and current weather conditions, explain the importance of radar horizon and how atmospheric conditions affect it IAW Bowditch and the Radar Navigation Manual",Knowledge/Performance Test
NEC2-055,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Radar and current weather conditions, explain two major differences between 10 nm and 3 nm radars IAW the Radar Navigation Manual (Pub 1310)",Knowledge/Performance Test
NEC2-056,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Radar and current weather conditions, properly energize and tune the radar to achieve the most accurate picture and to maximize the radar’s tracking capabilities",Knowledge/Performance Test
NEC2-057,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Radar and current weather conditions, utilize the functions of the radar/ARPA IAW the Radar Navigation Manual, to include the following knobology: Standby/Power, Gain, FTC, STC, EBL, VRM, Range Scale, Range Rings, True and Relative Modes, Course Up/North Up Modes, Acquire, Auto Acquire, Parallel Index Lines, True/Relative Vectors, and Vector Lengths",Knowledge/Performance Test
NEC2-058,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a radar contact, acquire the contact to begin ARPA tracking",Knowledge/Performance Test
NEC2-059,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a radar contact, run a Trial Maneuver on ARPA",Knowledge/Performance Test
NEC2-060,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a radar picture and a contact, determine if a risk of collision exists by using ARPA functions",Knowledge/Performance Test
NEC2-061,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a radar picture with a fixed object, use the EBL function to determine the bearing to the object to within 2 degrees",Knowledge/Performance Test
NEC2-062,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a radar picture with a fixed object, use the VRM function to determine the range to the object to within 100 yards",Knowledge/Performance Test
NEC2-063,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a ship’s distance from land and/or shoals, determine the required FOM and fix interval IAW the NAVDORM Table 3-A",Knowledge/Performance Test
NEC2-064,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a standard ship organization, Define the specific duties and responsibilities of the Chain-of-Command as detailed in the NAVDORM",Knowledge/Performance Test
NEC2-065,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a standard ship organization, Describe watchstander duties and responsibilities as detailed in the NAVDORM for both ECDIS-N certified and non-certified ships",Knowledge/Performance Test
NEC2-066,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a standard ship organization, explain the purpose of the NAVDORM",Knowledge/Performance Test
NEC2-067,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a standard ship organization, explain the role of the Navigator, Officer of the Deck, Navigation and Bridge Watch Teams as per the COMNAVSURFORINST 3530.4 (Ser)",Knowledge/Performance Test
NEC2-068,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a standard ship organization, identify and list the minimum operable equipment requirements prior to and during underway periods",Knowledge/Performance Test
NEC2-069,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a standard ship organization, identify information required in the Navigation Brief",Knowledge/Performance Test
NEC2-070,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a standard ship organization, identify information required in the Navigation Report",Knowledge/Performance Test
NEC2-071,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a standard ship organization, identify ship specific requirements for navigation and support equipment and Describe actions taken to maintain compliance",Knowledge/Performance Test
NEC2-072,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a standard ship organization, identify the contents of each of the chapters and appendices of the NAVDORM",Knowledge/Performance Test
NEC2-073,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a standard ship organization, identify the factors affecting navigation accuracy",Knowledge/Performance Test
NEC2-074,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given an ARPA contact, determine a CPA and Time of CPA",Knowledge/Performance Test
NEC2-075,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given at least 2 of the necessary pieces of information (Compass Heading, Deviation, Magnetic Heading, Variation, and True Heading), CONVERT Compass Heading to True Heading and vice versa within 0.1 degree of error.",Knowledge/Performance Test
NEC2-076,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,identify sources from which NTMs and Local NTMs may be accessed,Knowledge/Performance Test
NEC2-077,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,identify the best reference in which to find a desired piece of information,Knowledge/Performance Test
NEC2-078,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Identify the requirements to make applicable chart and publication corrections,Knowledge/Performance Test
NEC2-079,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,List and explain the elements of BRM,Knowledge/Performance Test
NEC2-080,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,List and explain the elements of situational awareness,Knowledge/Performance Test
NEC2-081,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,List the various resources available aboard ship to the Navigator,Knowledge/Performance Test
NEC2-082,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Retrieve movement reports, optimal track ships routing, and after action reports IAW applicable references",Knowledge/Performance Test
NEC2-083,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Prepare your Ship’s Navigation Bill IAW the NAVDORM,Knowledge/Performance Test
NEC2-084,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Recognize the loss of situational awareness,Knowledge/Performance Test
NEC2-085,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Retrieve specific information pertaining to the preparation of an OTSR request/daily report message,Knowledge/Performance Test
NEC2-086,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Retrieve specific information pertaining to the preparation of movement reports,Knowledge/Performance Test
NEC2-087,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Review prospective Ship’s Navigation Bill for compliance with the NAVDORM,Knowledge/Performance Test
NEC2-088,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Understand the contributing factors of human elements in mishaps and methods for prevention,Knowledge/Performance Test
NEC2-089,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Upon approach to a well distinguished coastline and given a functional radar or ARPA, take at least 3 coastal radar bearings / tangents and ranges and plot the vessel’s position within 0.2 NM of error or less",Knowledge/Performance Test
NEC2-090,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Upon completion of this unit of instruction, the student will be familiarized with the resources available to a bridge watch team, the elements and principles of effective Bridge Resource Management, and the importance of Error Chain Management",Knowledge/Performance Test
NEC2-091,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Upon the completion of an underway, Identify the reporting requirements as outlined in ONI 1200-003-98 (FICM)",Knowledge/Performance Test
NEC2-092,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Identify the purpose, general content, and procedures for using the Nautical Almanac",Knowledge/Performance Test
NEC2-093,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Nautical Almanac, STELLA, or a strip form, determine sunrise, sunset, moonrise and moonset to within two minutes (TO)",Knowledge/Performance Test
NEC2-094,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given an amplitude and azimuth of the Sun, correct for true compass heading within 0.2 degrees of error (TO)",Knowledge/Performance Test
NEC2-095,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a bearing circle or alidade, an accurate timepiece, a nautical almanac, and required tables, shoot an amplitude and azimuth of the Sun (EO)",Knowledge/Performance Test
NEC2-096,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given a Nautical Almanac, identify all the pieces of information available and their symbols",Knowledge/Performance Test
NEC2-097,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Given an amplitude and azimuth of the Sun, calculate error within 0.2 degrees of error",Knowledge/Performance Test
NEC2-098,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Explain the celestial triangle and its role in determining and plotting a Line of Position of the Sun,Knowledge/Performance Test
NEC2-099,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Explain how to interpolate sight reduction tables,Knowledge/Performance Test
NEC2-100,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Provides assistance to the navigator in all aspects of navigation, piloting, and administration of navigation",Knowledge/Performance Test
NEC2-101,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"CHOOSE the best chart according to scale, edition, projection, and datum",Knowledge/Performance Test
NEC2-102,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Construct a Time Diagram and determine the ZT and Date of the event,Knowledge/Performance Test
NEC2-103,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Construct a Time Diagram to calculate the Time and Date at Greenwich and OBTAIN the coordinates of celestial bodies from the Nautical Almanac,Knowledge/Performance Test
NEC2-104,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Construct a Time Diagram to calculate the Zone Time, Local Mean Time and Date for a given position",Knowledge/Performance Test
NEC2-105,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Define the types of currents and where they can be expected to occur IAW the tidal current tables,Knowledge/Performance Test
NEC2-106,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Describe how you would determine the zone times for High and Low waters for both the Index Stations as well as for the subordinate station locations,Knowledge/Performance Test
NEC2-107,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Describe the characteristics of a specific audible aid's sound producing device,Knowledge/Performance Test
NEC2-108,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Describe the light phase and visibility characteristics of a lighted aid to navigation,Knowledge/Performance Test
NEC2-109,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Describe the tidal datum and where the actual datum being used can be obtained,Knowledge/Performance Test
NEC2-110,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Describe the types of tidal patterns and where they can be expected to occur IAW the Tide Tables,Knowledge/Performance Test
NEC2-111,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Describe the use and identifying characteristics of a specific fixed or floating aid to navigation,Knowledge/Performance Test
NEC2-112,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Describe what atmospheric conditions could substantially effect the heights of the predicted tides (EO),Knowledge/Performance Test
NEC2-113,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Describe what time reference is being used in the Tidal Current Tables, where it can be found and how it is effected during daylight savings periods (EO)",Knowledge/Performance Test
NEC2-114,QM,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Describe what time reference is being used in the Tide Tables and how it is effected during daylight savings periods (EO),Knowledge/Performance Test
