PART I,,,,,,,,,,,PART II,,,,,,,,,Part III Cluster Analysis,,,,,,,,,,
Unique Identifier,Rating,Rank,Level (A),Billet Title,Functional Area ,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,Notes,Training Solution Type,Cluster Analysis Title,Recommended Modality,Development Specification,Candidate Platform,CFM Placement,Priority Placement,Development Ratio,Development Time (duration in hours),Estimated Instructional Time,Notes
NEC1-011,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Display flags and pennants,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Display flags and pennants,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Lookout and Signal Operations,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-012,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Interpret electronic charts,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Interpret electronic charts,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-013,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Interpret the Commanding Officer's (CO's) orders,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Interpret the Commanding Officer's (CO's) orders,Knowledge/Performance Test,Time Gap for E4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
NEC1-014,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Maintain checklists,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Maintain checklists,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-015,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,"Maintain the ship's records, logs, and forms",Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,"Maintain the ship's records, logs, and forms",Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-016,QM,E4,A,Quartermaster Journeyman (W13A),Equipment Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Manage sensor inputs to VMS,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Manage sensor inputs to VMS,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,VMS ,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-017,QM,E4,A,Quartermaster Journeyman (W13A),Lookout and Signal Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Operate signalman equipment,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Operate signalman equipment,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Lookout and Signal Operations,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-018,QM,E4,A,Quartermaster Journeyman (W13A),Equipment Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Operate the DAGR,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Operate the DAGR,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-019,QM,E4,A,Quartermaster Journeyman (W13A),Equipment Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Operate the Digital Flux Gate Magnetic Compass (DFGMC),Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Operate the Digital Flux Gate Magnetic Compass (DFGMC),Knowledge/Performance Test,Time Gap for E4,NEC Refresher,DFGMC,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-020,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform anchor planning procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform anchor planning procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-021,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform celestial navigation,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform celestial navigation,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Celestial,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-022,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform ceremonial procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform ceremonial procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-023,QM,E4,A,Quartermaster Journeyman (W13A),Equipment Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform compass maintenance procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform compass maintenance procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,DFGMC,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-024,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform Dead Reckoning (DR) procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform Dead Reckoning (DR) procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-025,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform error chain analysis (Honda Point Mishap),Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform error chain analysis (Honda Point Mishap),Knowledge/Performance Test,Time Gap for E4,NEC Refresher,BRM,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-026,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform error chain analysis (USS Arleigh Burke Mishap),Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform error chain analysis (USS Arleigh Burke Mishap),Knowledge/Performance Test,Time Gap for E4,NEC Refresher,BRM,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-027,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform error chain analysis (USS Guardian Mishap),Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform error chain analysis (USS Guardian Mishap),Knowledge/Performance Test,Time Gap for E4,NEC Refresher,BRM,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-028,QM,E4,A,Quartermaster Journeyman (W13A),Lookout and Signal Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform flag hoist procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform flag hoist procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Lookout and Signal Operations,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-029,QM,E4,A,Quartermaster Journeyman (W13A),Lookout and Signal Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform flashing light procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform flashing light procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Lookout and Signal Operations,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-030,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform honors procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform honors procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-031,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform meteorology procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform meteorology procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Weather,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-032,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform nautical chart procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform nautical chart procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-033,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform nautical time calculations,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform nautical time calculations,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-034,QM,E4,A,Quartermaster Journeyman (W13A),Plotting,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform piloting procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform piloting procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-035,QM,E4,A,Quartermaster Journeyman (W13A),Communications,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform procedures for establishing and maintaining communications,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform procedures for establishing and maintaining communications,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,BRM,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-036,QM,E4,A,Quartermaster Journeyman (W13A),Equipment Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform VMS alarm management,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform VMS alarm management,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,VMS ,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-037,QM,E4,A,Quartermaster Journeyman (W13A),Equipment Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform VMS systems setup,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform VMS systems setup,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,VMS ,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-038,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform weather observations and reporting procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform weather observations and reporting procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Weather,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,440,,N/A
NEC1-039,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Prepare a MOVREP,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Prepare a MOVREP,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-040,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Use applicable inspection checklists,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Use applicable inspection checklists,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-041,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Utilize aids to navigation,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Utilize aids to navigation,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-042,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Utilize Automatic Radar Plotting Aid (ARPA),Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Utilize Automatic Radar Plotting Aid (ARPA),Knowledge/Performance Test,Time Gap for E4,NEC Refresher,RADAR Operations,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-043,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Utilize electronic charts,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Utilize electronic charts,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-044,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Utilize electronic navigation systems,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Utilize electronic navigation systems,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,VMS ,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-045,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,"Direct representative of the Navigator and provides a continuous navigational watch on the bridge. Assists the Navigator and officer of the deck (OOD) in navigating the ship and will immediately inform the navigator, OOD, assistant navigator, and senior quarterM/operations specialist when discrepancies arise",Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,"Direct representative of the navigator and provides a continuous navigational watch on the bridge. Assists the navigator and officer of the deck (OOD) in navigating the ship and will immediately inform the navigator, OOD, assistant navigator, and senior quarterM/operations specialist when discrepancies arise",Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC2-001,QM,E6,J,Assistant Navigator (W12A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Apply Celestial Navigation Principles,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Apply Celestial Navigation Principles,Knowledge/Performance Test,N/A,NEC Refresher,Navigation - Celestial,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-002,QM,E6,J,Assistant Navigator (W12A),Technical Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Calculate nautical time,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Calculate nautical time,Knowledge/Performance Test,N/A,NEC Refresher,Navigation - Celestial,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-003,QM,E6,J,Assistant Navigator (W12A),Electronic System Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Conduct VMS casualty procedures,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Conduct VMS casualty procedures,Knowledge/Performance Test,N/A,NEC Refresher,VMS ,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-004,QM,E6,J,Assistant Navigator (W12A),Technical Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Construct navigation briefs,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Construct navigation briefs,Knowledge/Performance Test,N/A,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-005,QM,E6,J,Assistant Navigator (W12A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Demonstrate concepts of marine navigation,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Demonstrate concepts of marine navigation,Knowledge/Performance Test,N/A,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-006,QM,E6,J,Assistant Navigator (W12A),Plotting,NAVPERS 18068F Vol II,7/1/2021,NEC,Determine ship's position,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Determine ship's position,Knowledge/Performance Test,N/A,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-007,QM,E6,J,Assistant Navigator (W12A),Technical Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Download current predictions,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Download current predictions,Knowledge/Performance Test,N/A,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-008,QM,E6,J,Assistant Navigator (W12A),Technical Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Download tidal predictions,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Download tidal predictions,Knowledge/Performance Test,N/A,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-009,QM,E6,J,Assistant Navigator (W12A),Technical Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify navigational safety warnings,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Identify navigational safety warnings,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
NEC2-010,QM,E6,J,Assistant Navigator (W12A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify recommended actions based on the Rules of the Road,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Identify recommended actions based on the Rules of the Road,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
NEC2-011,QM,E6,J,Assistant Navigator (W12A),Technical Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Interpret the Commanding Officer's (CO) orders,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Interpret the Commanding Officer's (CO) orders,Knowledge/Performance Test,N/A,NEC Refresher,BRM,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-012,QM,E6,J,Assistant Navigator (W12A),Technical Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,"Maintain the ship's records, logs, and forms",Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,"Maintain the ship's records, logs, and forms",Knowledge/Performance Test,N/A,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-013,QM,E6,J,Assistant Navigator (W12A),Electronic System Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Manage sensor inputs to VMS,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Manage sensor inputs to VMS,Knowledge/Performance Test,N/A,NEC Refresher,VMS ,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-014,QM,E6,J,Assistant Navigator (W12A),Electronic System Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Manage VMS alarms,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Manage VMS alarms,Knowledge/Performance Test,N/A,NEC Refresher,VMS ,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-015,QM,E6,J,Assistant Navigator (W12A),Electronic System Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Operate electronic navigation systems,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test,N/A,NEC Refresher,VMS ,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-016,QM,E6,J,Assistant Navigator (W12A),Technical Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform anchor planning procedures,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Perform anchor planning procedures,Knowledge/Performance Test,N/A,NEC Refresher,Anchoring,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-017,QM,E6,J,Assistant Navigator (W12A),Communications,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform communication procedures,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Perform communication procedures,Knowledge/Performance Test,N/A,NEC Refresher,Communications,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
NEC2-018,QM,E6,J,Assistant Navigator (W12A),Plotting,NAVPERS 18068F Vol II,7/1/2021,NEC,Perform Dead Reckoning (DR) procedures,Rating Specific Task,No,J-4N-0009A,Surface Navigator/Assistant Surface Navigator,C-School,SWSC,CTTL,Perform Dead Reckoning (DR) procedures,Knowledge/Performance Test,N/A,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 15,1,220:01:00,220,,N/A
