,Part 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS-515,1693,ALL,E9,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Brief commanders on controls and resources that command can create to reduce risk to personnel (reduce risk to force),All Sailor Task (ships),No,A-493-0050,Introduction to Naval Safety and Occupational Health Ashore,G-School,CENSAFE,TCCD,Communicate risk up and down the chain of command during normal day to day operations,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-516,1694,ALL,E9,M,General Sailor,Programs and Policies,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Identify controls and resources that the command can create to reduce risk to operations (reduce risk to mission),All Sailor Task (ships),No,A-493-0050,Introduction to Naval Safety and Occupational Health Ashore,G-School,CENSAFE,TCCD,Communicate risk up and down the chain of command during normal day to day operations,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-493,1671,ALL,E8,M,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Understand the increased risk of ""high risk"" training",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-494,1672,ALL,E8,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Provide program and technical direction at the departmental level,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-495,1673,ALL,E8,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Assess and report department's material and personnel readiness,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-496,1674,ALL,E8,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Prioritize overall department work,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-497,1675,ALL,E8,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Delegate authority for department functions,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-498,1676,ALL,E8,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Coordinate and evaluate status and impact of department work on other departments,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-499,1677,ALL,E8,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Provide guidance on job performance to division chiefs,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-500,1678,ALL,E8,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Monitor assignment and utilization of department personnel,All Sailor Task (ships),No,A-493-0050,Introduction to Naval Safety and Occupational Health Ashore,G-School,CENSAFE,TCCD,Lead risk analysis of programs and process with key stakeholders during normal day to day operations ,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-501,1679,ALL,E8,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Track progress of overall department work efforts,All Sailor Task (ships),No,A-493-0050,Introduction to Naval Safety and Occupational Health Ashore,G-School,CENSAFE,TCCD,Lead risk analysis of programs and process with key stakeholders during normal day to day operations ,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-502,1680,ALL,E8,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Assist the Department Head in development of policy,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-503,1681,ALL,E8,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Identify and mediate inter-departmental differences,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-504,1682,ALL,E8,M,General Sailor,Programs and Policies,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Describe the importance of measuring the effectiveness of risk management within your command,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-505,1683,ALL,E8,M,General Sailor,Programs and Policies,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Describe the prioritization and utilization of limited resources in managing risk to ensure mission success,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-431,1609,ALL,E7,M,General Sailor,"Watchstanding and Watch, Quarter, and Station Bill",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Review and monitor assignment of personnel to the watch, quarter, and station bill",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-432,1610,ALL,E7,M,General Sailor,"Watchstanding and Watch, Quarter, and Station Bill",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Coordinate the preparation and assignment of personnel to the departmental watch, quarter, and station bill",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-433,1611,ALL,E7,M,General Sailor,"Watchstanding and Watch, Quarter, and Station Bill",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Advise the Chain of Command on the currency of the command's watch, quarter, and station bill",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-434,1612,ALL,E7,M,General Sailor,Drill and Formation,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Plan and coordinate inspections, quarters, and ceremonial events",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-435,1613,ALL,E7,M,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know how to wear and maintain Chief Petty Officer (CPO) uniforms,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-436,1614,ALL,E7,M,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Describe the authority to prescribe uniforms,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-437,1615,ALL,E7,M,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Describe the history/heritage of navy uniforms,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-438,1616,ALL,E7,M,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Describe the rules for wearing uniforms to political activities, commercial interest, public speeches or rallies",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-439,1617,ALL,E7,M,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Conduct preliminary investigation of offenses,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-440,1618,ALL,E7,M,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Perform the duties as a member of a Disciplinary Review Board (DRB),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-441,1619,ALL,E7,M,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Advise Chain of Command on matters of good order and discipline affecting the command,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-442,1620,ALL,E7,M,General Sailor,Military Justice,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the procedures for conducting Captain’s Mast,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-443,1621,ALL,E7,M,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the Fleet or Force and Command M Chief (CMC) programs,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-444,1622,ALL,E7,M,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the roles and functions of the Chief of Naval Operations (CNO)/M Chief Petty Officer of The Navy's (MCPON) leadership mess,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-445,1623,ALL,E7,M,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the eligibility requirements of the Senior Enlisted Academy and service academies,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-446,1624,ALL,E7,M,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Understand the importance of the Standards of Conduct boards,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-447,1625,ALL,E7,M,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Train junior officers,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-448,1626,ALL,E7,M,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Organize, schedule, and evaluate training programs",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-449,1627,ALL,E7,M,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Develop and monitor command's training programs,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-450,1628,ALL,E7,M,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task, Identify the resources for obtaining training quotas for navy courses,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-451,1629,ALL,E7,M,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Monitor command indoctrination programs,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-452,1630,ALL,E7,M,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Review Sailors’ Learning and Development Roadmap (LADR) prior to Career Development Boards (CDB),All Sailor Task (ships),No,A-501-0011,Command Career Couselor ,G-School,CENSERVSUPP,TCCD,Conduct Career Development Program Reviews (CPDR),Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-453,1631,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Provide guidance to personnel preparing enlisted performance evaluations,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-454,1632,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Prepare and submit divisional budget input,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-455,1633,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Review Naval correspondence and messages for release,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-456,1634,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Coordinate preparation for administrative, material and/or operational readiness inspections",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-457,1635,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Provide input to manpower authorization change requests,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-458,1636,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Prepare point papers,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-459,1637,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Prepare instructions and directives,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-460,1638,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Review Enlisted Distribution and Verification Reports (EDVR) for discrepancies and report findings,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-461,1639,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Monitor leave and liberty schedules,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-462,1640,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the content of command manning documents and process to recommend/implement changes,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-463,1641,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Review contents of departmental manning documents and make recommendations for changes,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-464,1642,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Prepare travel request and provide after action reports,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-465,1643,ALL,E7,M,General Sailor,Management/Administration,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Review enlisted performance evaluations,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-466,1644,ALL,E7,M,General Sailor,Organization,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Review and submit changes to Command's Standard Organization and Regulations Manual (SORM),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-467,1645,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Assess and report division material and personnel readiness,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-468,1646,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Provide guidance to the Leading Petty Officer (LPO) on job task performance,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-469,1647,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Coordinate and evaluate status and impact of division work with other divisions,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-470,1648,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Review, edit, and forward recommendations for formal awards or recognition",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-471,1649,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Assist the branch or division officer in the development of policy,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-472,1650,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Coordinate departmental level work schedules,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-473,1651,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Ensure that division supervisors submit recommendations for formal awards or recognition,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-474,1652,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Monitor divisional policies,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-475,1653,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Provide guidance to junior officers in developing leadership skills,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-476,1654,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Advise Chain of Command on enlisted personnel matters,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-477,1655,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Translate Navy and command specific polices into organizational requirements,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-478,1656,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Assess and report command or unit material and personnel readiness,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-479,1657,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Review, recommend, and monitor implementation of policy statements, operation orders, and directives",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-480,1658,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Monitor command programs (Sailor of the Year, Sponsor, etc.) and provide input for process improvement",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-481,1659,ALL,E7,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the procedures for conducting Career Development Boards (CDB),All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
