PART I,,,,,,,,,,PART II,,,,,,,,,,,
Rating,Rank,Level (A/J/M),Billet Title,Functional Area,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,NEC Refresher Training Selection,Journeyman,Master,Notes
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify JP-5 portable defuel cart components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 portable defuel cart components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify JP-5 Service system components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 Service system components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify JP-5 tank maintenance procedures,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 tank maintenance procedures,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify JP-5 transfer cart components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 transfer cart components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify maintenance data system,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify maintenance data system,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify military fuels and characteristics,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify military fuels and characteristics,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify nozzle and quick disconnect components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify nozzle and quick disconnect components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify One Way Check Valve (Swing-Type) components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify One Way Check Valve (Swing-Type) components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify organization duties and responsibilities,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify organization duties and responsibilities,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify planned maintenance system,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify planned maintenance system,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify quality maintenance procedures,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify quality maintenance procedures,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Quality Surveillance equipment,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Quality Surveillance equipment,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Quality Testing procedures,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Quality Testing procedures,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Rotary Vane Pump components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Rotary Vane Pump components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify sampling procedures,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify sampling procedures,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify specific gravity components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify specific gravity components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Tank Level Indicating and Controlling  System (TLICS),Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Tank Level Indicating and Controlling  System (TLICS),Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify the organizational management system,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify the organizational management system,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify the ship's operation management,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify the ship's operation management,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Perform JP-5 fuel system duties,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Perform JP-5 fuel system duties,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician (D14A),JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Transfer Filter components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Transfer Filter components,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,"Define the purpose, terms, abbreviations and symbols used with the management of fuel terminals",Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,"Define the purpose, terms, abbreviations and symbols used with the management of fuel terminals",Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Describe fuel terminal operational procedures and guidelines,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe fuel terminal operational procedures and guidelines,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Describe personnel and equipment safety precautions to be observed during the maintenance of fuel terminal systems and equipment,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe personnel and equipment safety precautions to be observed during the maintenance of fuel terminal systems and equipment,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Describe personnel and equipment safety precautions to be observed in the operation of fuel terminals,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe personnel and equipment safety precautions to be observed in the operation of fuel terminals,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Describe the personnel and equipment safety precautions to be observed during the operation of fuel terminal systems and equipment,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the personnel and equipment safety precautions to be observed during the operation of fuel terminal systems and equipment,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Describe the procedures for conducting the API gravity fuel test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the procedures for conducting the API gravity fuel test,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Describe the procedures for conducting the flashpoint fuel test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the procedures for conducting the flashpoint fuel test,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Describe the procedures for conducting the BS&W fuel test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the procedures for conducting  the BS&W fuel test,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Describe the procedures for conducting the contaminated/free water test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the procedures for conducting the contaminated/free water test,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Describe the procedures for developing an oil spill contingency plan,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the procedures for developing an oil spill contingency plan,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,"Identify the fuel terminal organization participants and actions, responsibilities and accountability of each participant",Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,"Identify the fuel terminal organization participants and actions, responsibilities and accountability of each participant",Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Observe personnel and equipment safety precautions,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Observe personnel and equipment safety precautions,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Operate Fuel terminal equipment,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Operate Fuel terminal equipment,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Perform Fuel Tests,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform Fuel Tests,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Perform shore JP-5 fuel system duties,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform shore JP-5 fuel system duties,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Perform the API gravity fuel test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform the API gravity fuel test,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Perform the flashpoint fuel test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform the flashpoint fuel test,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Perform the BS&W fuel test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform the BS&W fuel test,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Perform the contaminated/free water test,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform the contaminated/free water test,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Perform the fuel system icing inhibitor test ,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform the fuel system icing inhibitor test ,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician - 817A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Respond to an Oil Spill,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Respond to an Oil Spill,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician (817A),JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Describe the laws and regulations governing oil pollution,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Describe the laws and regulations governing oil pollution,Knowledge/Performance Test,,,,N/A
ABF,E5,J,Engineering Bulk Fuel Systems Shore Technician (817A),JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,State the types of maintenance on fuel terminal systems and equipment.,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,State the types of maintenance on fuel terminal systems and equipment.,Knowledge/Performance Test,,,,N/A
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (301 - Refueling Crewman),02/01/11,300 Series PQS Watch Station,Clean clogged/dirty nozzle strainer,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Given a job sheet disassemble and reassemble JP-5 nozzle,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (301  - Refueling Crewman),02/01/11,300 Series PQS Watch Station,Cold refuel aircraft,Rating Specific Task,No,C‑821‑2012,Shipboard Aviation Fuels Refresher ,F-School,CNATT,TCCD,Explain the procedures for refueling/defueling an aircraft,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (301  - Refueling Crewman),02/01/11,300 Series PQS Watch Station,Conduct overwing refueling,Rating Specific Task,No,C‑821‑2012,Shipboard Aviation Fuels Refresher ,F-School,CNATT,TCCD,Explain the procedures for refueling/defueling an aircraft,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (301  - Refueling Crewman),02/01/11,300 Series PQS Watch Station,Respond to contaminated fuel in aircraft ,Rating Specific Task,No,K-821-2145,Engineering Bulk Fuel Systems Shore Technician,C-School,CNATT,TCCD,Perform Combined Contaminated Fuel Detector (CCFD) Fuel Test,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (301  - Refueling Crewman),02/01/11,300 Series PQS Watch Station,Defuel aircraft,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,CTTL,Perform aircraft defueling,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (301  - Refueling Crewman),02/01/11,300 Series PQS Watch Station,Ensure samples are taken before defueling,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Given a knowledge test identify sampling procedures,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (301  - Refueling Crewman),02/01/11,300 Series PQS Watch Station,Respond to excessive fuel pressure on the flight deck,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (301  - Refueling Crewman),02/01/11,300 Series PQS Watch Station,Respond to fire or crash on the flight deck,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
ABF,E1,A,Aviation Fuels Flight Deck Operations Technician,JP-5 Operations,NAVEDTRA 43149-C Aviation Fuels (Air Capable Ships - Less LPD) (301  - Refueling Crewman),02/01/11,300 Series PQS Watch Station,Identify hose breakdown procedures,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Given a knowledge test identify hose and hose reel components,"Knowledge/Performance Test, Oral Board/Test",,,,N/A
